ax,ay,az,gx,gy,gz,thr,as,vz,alt,roll,pitch,label
0.0000,0.0000,-9.8198,0.0000,0.0000,0.0000,0.0000,0.4414,-0.0100,0.0930,0.0546,0.0430,0
0.0000,0.0000,-9.8198,0.0000,0.0000,0.0000,0.0000,0.3124,-0.0100,0.0340,0.0557,0.0428,0
0.0000,0.0000,-9.8198,0.0000,0.0000,0.0000,0.0000,0.3640,-0.0100,0.0070,0.0563,0.0431,0
0.0000,0.0000,-9.8198,0.0000,0.0000,0.0000,0.0000,0.6765,-0.0100,0.0020,0.0570,0.0432,0
0.0000,0.0000,-9.8198,0.0000,0.0000,0.0000,0.0000,0.4928,-0.0100,-0.0010,0.0577,0.0434,0
0.0000,0.0000,-9.8198,0.0000,0.0000,0.0000,0.0000,0.7658,-0.0100,-0.0020,0.0579,0.0435,0
0.0000,0.0000,-9.8198,0.0000,0.0000,0.0000,0.0000,0.7355,-0.0100,0.0000,0.0584,0.0436,0
0.0000,0.0000,-9.8198,0.0000,0.0000,0.0000,0.0000,0.6187,-0.0100,0.0010,0.0586,0.0439,0
0.0000,0.0000,-9.8198,0.0000,0.0000,0.0000,0.0000,0.8456,-0.0100,0.0060,0.0588,0.0440,0
0.0000,0.0000,-9.8198,0.0000,0.0000,0.0000,0.0000,0.7499,-0.0100,0.0100,0.0594,0.0445,0
0.0000,0.0000,-9.8198,0.0000,0.0000,0.0000,0.0000,0.6570,-0.0100,0.0190,0.0600,0.0445,0
0.0000,0.0000,-9.8198,0.0000,0.0000,0.0000,0.0000,0.7633,-0.0100,0.0260,0.0604,0.0453,0
0.0000,0.0000,-9.8198,0.0000,0.0000,0.0000,0.0000,0.6693,-0.0100,0.0340,0.0608,0.0458,0
0.0000,0.0000,-9.8198,0.0000,0.0000,0.0000,0.0000,0.6829,-0.0100,0.0370,0.0611,0.0462,0
0.0000,0.0000,-9.8198,0.0000,0.0000,0.0000,0.0000,0.6587,-0.0100,0.0400,0.0610,0.0463,0
0.0000,0.0000,-9.8198,0.0000,0.0000,0.0000,0.0000,0.6006,-0.0100,0.0410,0.0612,0.0462,0
0.0000,0.0000,-9.8198,0.0000,0.0000,0.0000,0.0000,0.6012,-0.0100,0.0420,0.0615,0.0459,0
0.0000,0.0000,-9.8198,0.0000,0.0000,0.0000,0.0000,0.6491,-0.0100,0.0420,0.0620,0.0464,0
0.0000,0.0000,-9.8198,0.0000,0.0000,0.0000,0.0000,0.1790,0.0000,0.0370,0.0621,0.0469,0
0.0000,0.0000,-9.8198,0.0000,0.0000,0.0000,0.0000,0.5011,0.0000,0.0340,0.0627,0.0474,0
0.0000,0.0000,-9.8198,0.0000,0.0000,0.0000,0.0000,0.8168,0.0000,0.0330,0.0627,0.0476,0
0.0000,0.0000,-9.8198,0.0000,0.0000,0.0000,0.0000,0.5054,0.0000,0.0380,0.0628,0.0481,0
0.0000,0.0000,-9.8198,0.0000,0.0000,0.0000,0.0000,0.9640,0.0000,0.0450,0.0630,0.0482,0
0.0000,0.0000,-9.8198,0.0000,0.0000,0.0000,0.0000,0.5804,0.0000,0.0440,0.0631,0.0482,0
0.0000,0.0000,-9.8198,0.0000,0.0000,0.0000,0.0000,0.8213,0.0000,0.0340,0.0631,0.0484,0
0.0000,0.0000,-9.8198,0.0000,0.0000,0.0000,0.0000,0.2226,0.0000,0.0070,0.0634,0.0483,0
0.0000,0.0000,-9.8198,0.0000,0.0000,0.0000,0.0000,0.3289,0.0000,-0.0040,0.0637,0.0483,0
0.0000,0.0000,-9.8198,0.0000,0.0000,0.0000,0.0000,0.7236,0.0000,-0.0030,0.0639,0.0487,0
0.0000,0.0000,-9.8198,0.0000,0.0000,0.0000,0.0000,0.7101,0.0000,0.0050,0.0642,0.0492,0
0.0000,0.0000,-9.8198,0.0000,0.0000,0.0000,0.0000,0.3905,0.0000,0.0150,0.0647,0.0495,0
0.0000,0.0000,-9.8198,0.0000,0.0000,0.0000,0.0000,0.3943,-0.0100,0.0310,0.0649,0.0496,0
0.0000,0.0000,-9.8198,0.0000,0.0000,0.0000,0.0000,0.2877,-0.0100,0.0340,0.0646,0.0495,0
0.0000,0.0000,-9.8198,0.0000,0.0000,0.0000,0.0000,0.7400,-0.0100,0.0380,0.0646,0.0496,0
0.0000,0.0000,-9.8198,0.0000,0.0000,0.0000,0.0000,0.3727,-0.0100,0.0470,0.0642,0.0502,0
0.0000,0.0000,-9.8198,0.0000,0.0000,0.0000,0.0000,0.2309,-0.0100,0.0580,0.0638,0.0499,0
0.0000,0.0000,-9.8198,0.0000,0.0000,0.0000,0.0000,0.7468,-0.0100,0.0690,0.0638,0.0502,0
0.0000,0.0000,-9.8198,0.0000,0.0000,0.0000,0.0000,0.3646,-0.0100,0.0830,0.0641,0.0507,0
0.0000,0.0000,-9.8198,0.0000,0.0000,0.0000,0.0000,0.4149,-0.0100,0.0900,0.0645,0.0508,0
0.0000,0.0000,-9.8198,0.0000,0.0000,0.0000,0.0000,0.3137,-0.0100,0.0980,0.0646,0.0510,0
0.0000,0.0000,-9.8198,0.0000,0.0000,0.0000,0.0000,0.8657,-0.0100,0.1020,0.0649,0.0514,0
0.0000,0.0000,-9.8198,0.0000,0.0000,0.0000,0.0000,0.5990,-0.0100,0.1070,0.0650,0.0517,0
0.0000,0.0000,-9.8198,0.0000,0.0000,0.0000,0.0000,0.1248,-0.0100,0.1080,0.0653,0.0520,0
0.0000,0.0000,-9.8198,0.0000,0.0000,0.0000,0.0000,0.7523,-0.0100,0.1100,0.0646,0.0521,0
0.0000,0.0000,-9.8198,0.0000,0.0000,0.0000,0.0000,0.8969,-0.0100,0.1110,0.0647,0.0522,0
0.0000,0.0000,-9.8198,0.0000,0.0000,0.0000,0.0000,0.2473,-0.0100,0.1140,0.0651,0.0530,0
0.0000,0.0000,-9.8198,0.0000,0.0000,0.0000,0.0000,0.7320,-0.0100,0.1180,0.0653,0.0532,0
0.0000,0.0000,-9.8198,0.0000,0.0000,0.0000,0.0000,0.5558,-0.0100,0.1240,0.0655,0.0532,0
0.0000,0.0000,-9.8198,0.0000,0.0000,0.0000,0.0000,0.8796,-0.0100,0.1250,0.0657,0.0532,0
0.0000,0.0000,-9.8198,0.0000,0.0000,0.0000,0.0000,0.6939,-0.0100,0.1040,0.0661,0.0533,0
0.0000,0.0000,-9.8198,0.0000,0.0000,0.0000,0.0000,0.9266,-0.0100,0.0420,0.0663,0.0532,0
0.0000,0.0000,-9.8198,0.0000,0.0000,0.0000,0.0000,0.2053,0.0000,0.0000,0.0665,0.0529,0
0.0000,0.0000,-9.8100,0.0000,0.0000,0.0000,0.0000,0.2754,0.0000,-0.0120,0.0664,0.0527,0
0.0000,0.0000,-9.8198,0.0000,0.0000,0.0000,0.0000,0.4648,0.0000,-0.0240,0.0667,0.0529,0
0.0000,0.0000,-9.8198,0.0000,0.0000,0.0000,0.0000,0.7416,0.0000,-0.0330,0.0669,0.0535,0
0.0000,0.0000,-9.8198,0.0000,0.0000,0.0000,0.0000,0.9228,0.0000,-0.0440,0.0672,0.0538,0
0.0000,0.0000,-9.8198,0.0000,0.0000,0.0000,0.0000,1.1831,0.0000,-0.0430,0.0671,0.0540,0
0.0000,0.0000,-9.8198,0.0000,0.0000,0.0000,0.0000,0.8248,0.0000,-0.0430,0.0671,0.0545,0
0.0000,0.0000,-9.8198,0.0000,0.0000,0.0000,0.0000,0.7588,0.0000,-0.0480,0.0673,0.0547,0
